SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
Artie Garwood,,Van Brunt & Slaght,Schooner,1862,"Mauricetown, NJ",12/14/1879,1879,12,14,Monmouth Beach E 2 mi,,,Stranded in gale,,,,,11,264,,"Bridgeton, NJ","Philadelphia, PA","Boston, MA",Stevens,7,,0,"$10,000","$3,000",395 ton coal,Monmouth Beach #4,Y,N,Broke up; Total loss,
Artisa,,,Sloop,,,5/25/1883,1883,5,25,Barnegat Inlet,,,Dismasted in storm,,,,,,,,,"New York, NY","Silverton, NJ",,,,,,,,,N,N,Anchored; Later repaired,
Arundel,,,Barge,1902,"Elkton, MD",4/9/1916,1916,4,9,Barnegat,,,Foundered,,,,,,418,418,"Baltimore, MD",,,,3,,0,,,,,Y,N,#30301; Total loss,
Arundo,,N V Maats ZeeVaart,Freighter,1930,"New Castle, England",4/28/1942,1942,4,28,Belmar E 15.5 mi,40-10-25 N,73-40-57 W,Torpedoed by U-136,Steel,Netherlands,412,55,26,5163,3107,"Rotterdam, Holland","New York, NY","Alexandria, Egypt",A C Trdelman,43,,6,,,Military supplies,,Y,Y,War loss,
Asenath A Shaw (1878),,,Schooner,1878,"Wilmington, DE",12/6/1878,1878,12,6,Brigantine Shoal,,,Grounded,Wood,US,155,35.5,15.6,557.26,529.40,"New York, NY","Providence, RI","Baltimore, MD",Morgan,7,,0,"$20,000",,,,N,N ,#105770; Refloated,
Asenath A Shaw (1896),,Joseph Holmes,Schooner,1878,"Wilmington, DE",2/6/1896,1896,2,6,Brigantine LSS S 300 yds,,,Stranded,Wood,US,155,35.5,15.6,557.26,529.40,"Philadelphia, PA","Providence, RI","Baltimore, MD",Morgan,7,0,0,, ,,Brigantine,N,N,#105770; Refloated 7 months later,
Asenath A Shaw (1900),,Joseph Holmes,Schooner,1878,"Wilmington, DE",10/7/1900,1900,10,7,NE Lightship NE 2 mi,,,"Collision w/ ""Hamilton""",Wood,US,155,35.5,15.6,557.26,529.40,"Philadelphia, PA","Philadelphia, PA","Providence, RI",Benjamin W Smith,7,0,0,"$10,000","$5,000",890 tons of coal,,Y,N,#105770; Sank,
Asfalto,,,Barge,,,3/12/1932,1932,3,12,Monmouth Beach E 10 mi,40-21-00 N,73-46-00 W,Sank,Steel  ,,330,40,,,,,,,,,,,,,NYC garbage,,Y,N,Lots of old bottles,
Asher S Parker,,,Schooner,,,1/22/1892,1892,1,22,Barnegat Shoal,,,Stranded,,,,,,41,,"Perth Amboy, NJ","Little Egg Harbor, NJ","Toms River, NJ",Irons,3,,0,"$1,000",,None,,,N ,,
Ashland (1872),,Mertopolitan SS Co.,Steamship,1863,"Philadelphia, PA",9/25/1872,1872,9,25,Barnegat,,,Stranded,,,,,11,,,"New York, NY",,,S Crowell,,,,,,,,,N ,,
Ashland (1912),,Reading Rail Co,Schooner,1898,"Noank, CT",2/12/1912,1912,2,12,Highlands SE 15 mi,,,,Wood,,194,35,17.6,901,838,"Philadelphia, PA","Philadelphia, PA","Bath, ME",Alex C Edstrand,5,0,0,"$8,155","$6,139",1453 tons of coal,,,N ,,
Assistance,,Royal Navy,Man-o-war,,,12/1783,1783,12,,Sandy Hook Horseshoe,,,Stranded in blizard,Wood,England,,,,,,,,,,15,,15,,,,,,N,,
Asterope,,,Brig,,,12/15/1870,1870,12,15,Sandy Hook E 75 mi,,,"Collision w/ ""Sharon""",,England,,,,,,"New York, NY","Malaga, Spain","New York, NY",,,,,,,,,N,N ,Partial loss,
Astra,,A/S Danipskibsslok Orion (?),Freighter,1945,"Copenhagen, Denmark",,,,,,39-20-30 N,74-11-25 W,"Collision w/ ""Steel Inventor""",,Denmark,333.4,51,,2709,1499,,"New York, NY","Havana, Cuba",,,,,,,Automobiles,,,Y,,
Astronomer,,T J Harrison,,1859,"Liverpool, England",2/2/1872,1872,2,2,Sandy Hook,,,Damaged in a gale,Iron,England,,,20,1120,,"Liverpool, England","Calcutta, India","New York, NY",,,,,,,,,N,N ,Partial loss,
Astros,,,Brig,,,1/7/1836,1836,1,7,Squan Beach,,,,,,,,,,,"Trieste, Austria",,,Mulwick,2,4,5,,,,,,N,,
Atkins Hughes,,W M S Hughes,Steamship,1890,"Philadelphia, PA",,,,,Hereford Inlet,,,"Collision w/ ""Fred Belaur""",Iron,,88.7,19,10.2,115,57.93,"Philadelphia, PA",,,Wilson,7,,0,"$28,000",,,,,N,,
Atlanta,,Mallory,Ship,,,1865,1865,,,Sandy Hook,,,Sank,,,,,,,,,,,,,,1,,,,,,N,,
Atlantic,,Photos only,Sidewheel steam,,,,,,,Unknown,,,Unknown,,,,,,,,,,,,,,,,,,,,Y,No info on an event. Just photos,
Atlantic (1831),,,Brig,,,10/8/1831,1831,10,8,"Long Branch, NJ",40-17-30 N,73-58-30 W,,,,,,,,,,,,,,,,,,,,,N,,
Atlantic (1843),,,Schooner,,,9/9/1843,1843,9,9,Delaware Capes,,,Grounded,,,,,,,,,,,,,,,,,,,,N,,
Atlantic (1921),,,Barge,1899,"Elkton, MD",11/28/1921,1921,11,28,"Seabright, NJ",,,Stranded,,,,,,399,399,"Baltimore, MD",,,,2,,0,,,,,,N,#30299,
Atlantic City,,Warren Webster,Steamship,1912,"Port Richmond, NY",9/13/1914,1914,9,13,Absecon Inlet North shoal,,,Stranded in storm,Steel,US,180.1,28.4,12.5,927,630,"Philadelphia, PA","New York, NY","Atlantic City, NJ",Van Doren Townsend,27,34,0,"$100,000","$5,000",10 ton Groceries,Atlantic City ,N,N,#209871; Refloated,
Atlantic Princess,Ealanor Eileen X,Seaford Scallop Co,Scalloper,1980,"St Augustine, FL",12/14/1980,1980,12,14,Barnegat Light NE 45 mi,,,Capsized,Steel,US,68.4,21.2,11.1,121,82,"Seaford, VA","Seaford, VA",Fishing service,Robert L Duda,6,0,4,,,Scallops,,Y,N,#622600; Sank,Scrapbook #15
Atlantic Seal,,,Oil Exploration Vessel,,,7/8/1969,1969,7,8,Atlantic City,,,Fire,,,,,,,,,,,,,,,,,,,Y,N,Welder torch; Burned 3 hours,
Atlantus,,Colonel Jesse Rosenfeld,Steamer Concrete ,1918,"Wilmington, DE",6/8/1926,1926,6,8,Cape May Point,38-56-30 N,74-58-20 W,Grounded in storm,Concrete,US,250,43,22,2500,,,,,,,,,,,,,Y,Y,Now a historic site,
Atlas (1881),,,Brig,,,2/2/1881,1881,2,2,New York SE 90 mi,,,In distress,,US,,,,,,,,,,,,0,,,,,N,N,Towed to New York,
Atlas (1908),,,Steamship,1892,"Baltimore, MD",2/18/1908,1908,2,18,Cape May Prissy Wicks Shoal,,,Stranded,,,61.5,15.2,6.6,32,16,"Baltimore, MD","Baltimore, MD","Cold Spring, NJ",,7,,0,"$3,500",,,Cape May,N,N,#86209; Refloated,
Auburn,,Savannah Line,Packet ship,1837,"New York, NY",9/25/1847,1847,9,25,Barnegat Light S 5 mi,39-44-46 N,74-05-20 W,Stranded,,,117,28.7,16.9,427,,"New Orleans, LA","New Orleans, LA","New York, NY",E S Hoyt,26,,19,"$25,000","$45,000",Cotton & hemp,,Y,N,Total loss,
Auburndale,,,Bark,1880,"Millbridge, ME",12/22/1898,1898,12,22,Harvey Cedars LSS S 1.25 mi,,,Stranded in fog,Wood,US,149.3,33.6,17.3,663,574.99,"Boston, MA","Buenos Aeris, Arg","New York, NY",Dow,11,,0,"$8,000","$1,600",900 ton salt,Ship Bottom; Loveladies,N,N,#105935; Refloated; Disappeared  7/1/1908,
Auer,,,Schooner,,,3/16/1841,1841,3,16,"Long Branch, NJ",,,Stranded in storm,Wood,US,,,,,,,,,,,,,,,Coal,,Y,N,Total loss,
Augusta (1857),,,Steamship,,,7/1857,1857,7,,Delaware Capes,,,Caught in tornado,,,,,,,,,"Baltimore, MD","New York, NY",,,,,,,,,Y,N,Sank,
Augusta (1861),,,Bark,,,4/1861,1861,4,,,,,Abandoned,,England,,,,,,,"New York, NY",New Jersey,,,,,"$36,000",,,,Y,N,Total loss,
Augusta HMS (1777),64 gun Frigate,,Frigate,,,10/23/1777,1777,10,23,"Gloucester, NJ",,,Sunk by gunfire from forts,Wood,England,,,,,,,,In battle,,,,42,,,,,Y,N,Exploded; Sank; war loss,
Auguste,,,Bark,,,3/1/1881,1881,3,1,Sandy Hook Romer Shoal,,,Stranded,,Germany,,,,,,,"Havana, Cuba","Boston, MA",,,,,,,Sugar,,,N,,
Augustina,,,Brig,,,2/3/1880,1880,2,3,"Monmouth Beach, NJ",40-21-24 N,73-56-30 W,Stranded in storm,,Spain,,,,168,,"Barcelona, Spain","Havana, Cuba","New York, NY",Artiz,8,,0,"$3,000","$5,100",Cedar & hides,Monmouth Beach #4,Y,Y,Total loss,
Auntie,,,Sloop - Yacht,,,7/23/1905,1905,7,23,Bayhead LSS E .25 mi,,,Grounded,,,,,,,,,"Brooklyn, NY","Barnegat, NJ",,6,,0,$250,,None,Bayhead & Mantoloking,Y,N,Total loss,
Aurania,,Cunard SS Line,Steamship,1882,"Glasgow, Scotland",9/14/1885,1885,9,14,Sandy Hook LSS E 1 mi,,,"Collision w/ ""Republic""",,England,470,51.2,37.2,4030,,,,,Hains,,,0,,,,,N,N,#87839; Slight damage,
Aurelia,,Breakwater Co,Tug steam,1892,"Bordentown, NJ",8/25/1909,1909,8,25,Cold Spring Inlet North bar,,,Stranded,Wood,,56,14.4,5,22,15,"Philadelphia, PA","Bellevue, DE","Cold Spring, NJ",John Williamson,3,,0,"$2,000",,None,2 Mile Beach & Cold Spring,Y,N,"#106949; Total loss; Towing ""Charles W Davis""",
Aurora (1827),,Robert Kermit,,1823,"Bath, ME",11/7/1827,1827,11,7,Sandy Hook,,,Stranded,Wood,,105.1,27.3,7.5,347,,,"Liverpool, England","New York, NY",J Taubman,,,,,,"Coal, crates, hardware, slate",,,Y,,
Aurora (1829),,,Brig,,,4/19/1829,1829,4,19,"Long Branch, NJ",,,Lost sails in gale,,,,,,,,,"Mobile, AL","New York, NY",Goodday,,,,,,,,N,N,Partial loss,
Aurora (1930),,,Motor vessel gas,1867,"Stonington, CT",8/21/1930,1930,8,21,"Long Branch, NJ",,,Stranded,,,44.6,14.6,4.4,14,9,,,,,,,,,,,,Y,N,#76142; Total loss,
Aurora I,,,Steamship,,,3/26/1885,1885,3,26,Sandy Hook LSS N 2.5 mi,,,Stranded,,Austria,,,,1045,,"Lusino, Austria","New York, NY","Anjier, Venezuela",Geromilich,31,,0,"$50,000","$10,000",Oil,,N,N,Refloated w/ no damage,
Austria,,,Brig,,,,,,,Squan Beach,,,Stranded in storm,,Austria,,,20,,,,,,,,,1,,,,,,N,,
Avoca,,,Sloop - Yacht,,,9/5/1909,1909,9,5,"Elberon, NJ",,,,,,,,,,,,,,,,,,,,,,,N,,
Axel,,,Brig,,,4/11/1846,1846,4,11,Squan Inlet S 5 mi,,,Grounded,,Sweden,,,,,,Cette,,"New York, NY",,,,,,,"Wine, etc",,Y,N,Total loss,
Ayrshire (1850),,Buoun & Co,Bark,1845,"Quebec, Canada",1/12/1850,1850,1,12,Squan Inlet S 8.1 mi,39-58-30 N,74-03-00 W,Grounded in snow storm,Wood,England,,,,625,,"Bristol, England","Newry, Ireland","New York, NY",J P M McGlew,47,202,1,,,37 ton iron; 280 ton coal,,Y,Y,1st use of Francis life car,
Ayrshire (1926),,Elderslie SS Co,Freighter,1903,"Newcastle, England",,,,,Unknown,,,Unknown,Steel,England,460,58.8,31.8,7749,,"Glasgow, Scotland",,,,,,,,,,,,Y,No info on an event. Just photos,
Ayuruoca,,Lloyd Brasileiro,Freighter,1912,"Bremen, Germany",6/10/1945,1945,6,10,Ambrose Light S 15 mi,,,"Collision w/ ""General Fleischer""",,Brazil,468.4,58.4,29.2,6872,4245,"Rio de Janeiro, Brazil","New York, NY","Rio de Janeiro, Brazil",,66,,1,,,General,,Y,Y,Deep dive 170' in Mud Hole,
Azua,,J E McLean,Schooner,1918,"Staten Island, NY",5/14/1930,1930,5,14,Barnegat SE 47 mi,,,"Collision w/ ""City of Atlanta""",Wood,US,171.2,34.8,14.7,664,613,"New York, NY","New York, NY",Bermuda,J E McLean,7,,3,,,Coal,,,N,#217247,
B B 59,,,Scow,,,6/6/1924,1924,6,6,Sandy Hook E 3 mi,40-26-00 N,73-55-00 W,Sank,,,,,,,,,,,,,,,,,,,Y,N,BB = Breymann Brothers,
B Drummond,,Herbert & Bennet,Schooner,,,2/17/1858,1858,2,17,"Long Branch, NJ",,,Sank,,,,,,,,"New York, NY","Squan, NJ","New York, NY",J Fox,7,,7,"$8,000",,"Cargo from ""Clara Brookman""",,Y,N,Total loss,
B F Fout,,,Barge,1905,,12/21/1917,1917,12,21,"Thompsons Point, NJ",,,Foundered,,,,,,125,,,,,,1,,0,,,,,,N,,
B F Macomber,SP-980,Consolidated Fisheries,Fishing trawler,1913,"Noank, CT",7/20/1946,1946,7,20,Harbor of Refuge Light E 1 mi,38-48-462 N,74-04-048 W,"Collision w/ ""Henry C Brown""",Wood,US,138,22,11,257,,"Wilmington, DE",,Fishing,John Lowry,28,,0,"$200,000",,,,Y,N,Sank; Total loss,
B F Reeves,,,Schooner,,,12/23/1872,1872,12,23,Cape May,,,Stranded,,,,,,,,"Manasquan, NJ","Maurice River, NJ","New York, NY",,,,,,,,,,N,,
B Gonner,,,Schooner,,,5/14/1879,1879,5,14,Cold Spring bar,,,Stranded,,,,,,,,"Wilmington, DE","Wilmington, DE","Cape May, NJ",,,,,,,Coal,,N,N,Partial loss,
B Havens Jones,B H Jones,B B Pearce,Schooner,1865,"Port Jefferson, NY",3/15/1886,1886,3,15,Absecon Inlet,,,"Collision w/ ""T Harris Kirk""",,,108,29.2,9.8,216,,"Perth Amboy, NJ","Barren Island, NY","West Point, VA",D N Pearce,,,,,,,,N,N,#2552; Partial loss,
B I Hazard,,,Schooner,1872,"Port Jefferson, NY",5/10/1912,1912,5,10,Brigantine LSS S 4 mi,,,Stranded,Wood,,131.8,31.1,8.4,392,349,"New York, NY","Beaufort, NC","New York, NY",,6,,0,"$7,000","$10,000",Lumber,"Brigantine, S Brigantine , Atlantic City",,N,#2836,
B N Hawkins,,,Schooner,,,1/6/1878,1878,1,6,Brigantine Shoal,,,Stranded,,,,,,395.51,,"New York, NY","Charleston, SC","New York, NY",Turpin,10,,0,"$20,000","$3,000",Lumber,Brigantine #25,Y,N,#2354; Total loss,
B T Riggin (1898),,,Schooner,1877,"Back Creek, VA",7/12/1898,1898,7,12,Hereford Inlet LSS NE .25 mi,,,Stranded,,,52.3,14.4,3.4,13,12,"Cape Charles, VA","Hereford, NJ",Fishing service,Johnson,18,,0,"$1,000",,,Hereford Inlet,N,N,#3049; Refloated,
B T Riggin (1899),,,Schooner,1877,"Back Creek, VA",8/29/1899,1899,8,29,Five Mile Beach,,,Stranded,,,52.3,14.4,3.4,13,12,"Cape Charles, VA","Hereford, NJ",Fishing service,Johnson,18,,0,"$1,000",,,Hereford Inlet,N,N,#3049; Refloated,
Baby Blue,,,Barge,1907,,4/16/1918,1918,4,16,"New York, NY",,,Collision w/ unknown barge,,,,,,463,,,,,,,,,,,,,,N,,
Badsworth,,"Miller, Bull & Knowlton",Steamship,1883,"South Hampton, England",1/18/1897,1897,1,18,Long Beach LSS NE 1.75 mi,,,Stranded,Iron,US,263.8,36.1,24.1,1992,1272,"Philadelphia, PA","Pernambuco, Brazil","New York, NY",Fox,23,,0,"$49,000","$84,600",Sugar,,N,N,Refloated,
Baker,,Baker Transportation,Schooner - Barge,1876,"Bergen, Norway",12/21/1905,1905,12,21,Atlantic City,,,Burned,Wood,US,182.2,37.9,21.3,996,,"New York, NY","Newport, RI","Philadelphia, PA",T F Man,4,,0,"$20,000",,None,,Y,N,#3776: Total loss,
Bala,,,Schooner - Barge,1895,"Noank, CT",2/5/1907,1907,2,5,Atlantic City,,,Foundered,Wood,US,176.4,35,14.2,678,644,"Fall River, MA","Newport News, VA","Boston, MA",,3,,3,,,Coal,,Y,N,#3653; Total loss,
Balaena,,,Bark,,"Sag Harber, NY",1922,1922,,,Mud Hole,40-10.377 N,73-40.985 W,Unknown,Wood,,,,,,,,,,,,,,,,Coal,,,Y,,
Balance (1746),,,Ship,,,3/24/1746,1746,3,24,Barnegat S,,,Stranded,,,,,,,,,"New York, NY","Philadelphia, PA",Gill,,,,,,,,N,N,Refloated,
Balance (1847),,,Schooner,,,1/22/1847,1847,1,22,Cape May Beach,,,Stranded; Bilged,,,,,,,,,"Gloucester, MA","Philadelphia, PA",,,,,,,,,Y,N,Total loss,
Baldwin (1851),,,Bark,,,11/1851,1851,11,,Atlantic City,,,Stranded,,,,,,,,,,,,,,,,,Cotton & merchandise,,,N,,
Baldwin (1893),,Nathan B Lewis,Bark,1891,"Meteghan River, NS",3/2/1893,1893,3,2,Brigantine Shoal,,,Stranded,Wood,England,167,34.2,13.2,561,,"Yarmouth, NS",,Fishing service,George Wetmore,3,,0,"$1,200",,,S Brigantine,N,N,Refloated,
Balear,,,Brig,,,11/20/1869,1869,11,20,Little Egg Harbor,,,Stranded; Bilged,,England,,,,175,,"Nassau, BAH","Black River, Jamaica","New York, NY",Benson,,,,,,Logwood,,N,N,Refloated,
Balloon,,,Steamship,1839,,10/29/1872,1872,10,29,"Camden, NJ; Kaighns Point",,,Burned,,US,,,,204,,,,,,,,,,,,,,N,,
Balsa,,A D Cummins,Schooner,1919,"Yarmouth, NS",4/23/1925,1925,4,23,Sandy Hook Romer Shoal,,,Stranded,Wood,US,161.1,35.6,13,557,514,"Philadelphia, PA","Philadelphia, PA","New York, NY",Erickson,8,0,0,"$10,000",,None,,,N,#219352,
Baltimore (1838),,,Schooner,,,9/12/1838,1838,9,12,Little Egg Harbor,,,Stranded in gale,,,,,,,,"New Haven, CT","Norfolk, VA","New York, NY",Wetmore,,,,,,Corn & Staves,,,N,,
Baltimore (1846),,,Schooner,,,5/12/1846,1846,5,12,Absecon Inlet,,,Capsized,,,,,,,,"Newark, NJ","Newark, NJ","Philadelphia, PA",Samuel Jarvis,,,0,,,,,Y,N,Drifted on the beach,
Banana Barge,DVD Barge,Pete King,Deck barge,,,9/14/1998,1998,9,14,Sea Girt Artificial Reef Reef,40-06-40   N,73-57-08   W,Opened hull,Steel,US,140,40,8,,,NJ AR,SG,87,,,,,,,,,Y,Y,Sponsor - Delaware Valley Divers,See scrapbooks 38 - 43 - Purple Misc
Banvard,,,Schooner,1848,"Haddam, CT",8/8/1886,1886,8,8,South Brigantine LSS SE 4 mi,,,In distress in gale,Wood,,,,,143.12,,"New York, NY","New York, NY","Cape Henry, VA",Luker,6,,0,"$2,000",,None,South Brigantine,N,N,#2350,
Barbadoes,,,Steamship,1911,,10/24/1930,1930,10,24,Atlantic City,,,Foundered,,,,,,93,,,,,,14,,8,,,,,,N,#209068,
Barbara Lee,,James Vogel,Fishing boat,1976,"Snug Harbor, RI",10/22/1988,1988,10,22,Barnegat Light SE 68 mi,,,Hit floating object; bilged,Steel,US,51,16,5,41,,"Barnegat Light, NJ","Barnegat Light, NJ",Fishing service,James Vogel,4,,0,"$200,000","$30,000",Swordfish & Tuna,,Y,Y,"Crew resued by ""Lori-L""",
Bardness,,,Barge,,,11/10/1910,1910,11,10,,40-27.5 N,73-27.0 W,Sank,,,,,,1295,,,,,,,,,,,,,Y,N,,
Barge No 110,,Frederick Snare Co,Barge,,,9/8/1956,1956,9,8,Cold Spring Inlet SE 5.3 mi,38-52-30 N,74-46-30 W,Sank,Steel,,86,38,,,,,,,,,,,,,,,Y,N,In tow,
Barge No 4,,,Barge,,,12/22/1908,1908,12,22,Cold Spring LSS E 2.5 mi,,,Abandoned,,,,,,,,,,,,,,,,,,,Y,N,Total loss,
Barge No 887,,,Barge,,,1946,1946,,,"Indian River Inlet, DE E 7 mi",38-36-59 N,74-55-52 W,Sank,,,,,,,,,,,,,,,,,,,Y,N,,
Barnard,,,Schooner,,,1/23/1878,1878,1,23,Little Egg LSS SW .75 mi,,,Stranded,,,,,,143,,,"New York, NY","Chickahominy, VA",Luker,6,,0,"$5,000",,,,,N,,
Barnett Jones (AM),,,Schooner,,,11/10/1878,1878,11,10,Cold Spring Inlet,,,Stranded,,,,,,92.91,,"New York, NY",,,,6,,0,,,,2 Mile Beach #38,N,N,#1691; Refloated,
Barnett Jones (PM),,,Schooner,,,11/10/1878,1878,11,10,Cape May,,,Stranded,,,,,,92.91,,"New York, NY",,,,6,,0,,,,Cape May #40,N,N,#1691; Refloated,
Barracuda,,Mary E Keniriah,Fishing boat,1919,"Boston, MA",10/28/1935,1935,10,28,Barnegat,,,"Collision w/ ""Pennsylvania""",,,37.2,9.2,4.3,10,7,"Philadelphia, PA","Manasquan, NJ",Fishing service,,3,,0,,,,,Y,N,Total loss,
Barry,,Reading Rail Co,Schooner - Barge,1904,"Noank, CT",6/22/1907,1907,6,22,Cape May McCries Shoal,,,"Collision w/ ""Northwestern""",Wood,,193.6,35,17.6,954,865,"Philadelphia, PA","Lynn, MA","Philadelphia, PA",Reuben K Seaman,5,,0,"$28,583",,,,N,N,"#201365; In tow of ""Monocracy""; Retook tow",
Barton,,,Schooner,,,2/3/1850,1850,2,3,Barnegat SE 20 mi,,,Abandoned,,,,,,,,"Brooklyn, NY","Richmond, VA","New York, NY",,6,,0,,,,,Y,N,"Total loss; Crew saved by ""Excel""",
Baspaco,,,Scow,1913,,10/29/1921,1921,10,29,"Port Reading, NJ",,,Burned,,,,,,201,,"Port Reading, NJ",,,,1,,0,,,,,,N,,
Bass USS,,U S Navy,Submarine,1924,,3/12/1945,1945,3,12,"Block Island, RI SE 8 mi",,,Sunk in target practice,Steel,US,341,26.9,15.1,2506,,,,,,,,,,,None,,Y,Y,Deliberately sunk after decommission,
BassBarn.com,Mantank,K-Sea Tranportation Co,Tanker barge,1950,"Wilmington, DE",9/5/2002,2002,9,5,Deepwater Artificial Reef,38-58-688 N,74-11-410 W,Opened hull,Steel,US,224,38,14,,,NJ AR,DW,4,,,,,,,,,Y,Y,"Sponsor - BassBarn.com, et al",See scrapbooks 38 - 43 - Purple Misc
Batsto,,,Schooner,,,11/2/1843,1843,11,2,Egg Harbor,,,Grounded,,,,,,,,Tuckerton. NJ,"Philadelphia, PA","New York, NY",,,,0,,,Coal,,Y,N,Total loss,
Battler,,Frank L Neall,Tug steam,1881,"Philadelphia, PA",4/28/1895,1895,4,28,"Ocean Grove, NJ",,,Broker shaft; lost prop,Iron,,108.4,22,9.4,138.56,76.52,"Philadelphia, PA","New York, NY","Philadelphia, PA",S H Beers,9,0,0,"$20,000",,,,N,N,#3141; Towed to Jersey City,
Bavaria,,U S Shipping Board,Steamship,,,6/16/1918,1918,6,16,Brigantine Shoal,,,Stranded,,US,355.3,44,26,3898,2466,,,,,,,,"$900,000","$318,000",sugar,,N,N,Refloated,
Bay Jack,,U S Navy,Tug,,,11/2005,2005,11,,Townsends Inlet Artificial Reef,39-06-461 N,74-36-025 W,Scuttled,Steel,US,60,,,,,NJ AR,TI,1,,,,,,,,,Y,Y,Sponsor - Gov Cody's Coastal Initiative,See scrapbooks 38 - 43 - Purple Misc
Bayard,,Bureau Freres,Bark,1901,"Nautes, France",10/17/1903,1903,10,17,Spermaceti Cove LSS SE .25 mi,,,Stranded,Steel,France,277,40,22.5,2297,1731,"Nautes, France","Cape Town, SA","New York, NY",Le Wein,23,,0,"$80,000",,in ballast,Spermaceti Cove,N,N,Refloated,
Bayview,,,Steamship,1891,"West Superior, WI",10/9/1909,1909,10,9,Island Beach LSS E 300 yds,,,Stranded,Steel,,265,38,29,1399,1075,"Belfast, ME","Portland, ME","Newport News, VA",,20,,0,"$30,000",,None,,,N,#106834,
Bea Bellido,,Short Brothers,Steamship,1893,"Sunderland, England",2/24/1895,1895,2,24,Brigantine Shoal,39-23-00 N,74-23-30 W,Stranded,,England,277,37.2,14.3,1914,1202,"New Castle, England","Philadelphia, PA","New York, NY",Young,27,0,0,"$100,000",,None,Brigantine & So Brigantine,N,N,#101825; Refloated,
Beach Haven (1983),,Beach Haven Inc,Fishing trawler,1949,"Camden, NJ",3/20/1983,1983,3,20,Barnegat Shoal,,,Stranded; abandoned,Steel,US,120.4,21.5,8.3,177,101,"Chrisfield, MD","Barnegat Light, NJ",Fishing service,,6,,0,,,,USCG Barnegat Light,N,Y,#257543,
Beach Haven (1992),,Gifford Marine,Fishing trawler,1949,"Camden, NJ",8/6/1992,1992,8,6,Atlantic City Artificial Reef,39-15-340 N,74-14-017 W,Explosives,Steel,US,120.4,21.5,8.3,177,101,NJ AR,AC,21,,,,,,,,,Y,Y,"Sponsor - Fish America Foundation, et al",See scrapbooks 38 - 43 - Purple Misc
Bear Ridge,,Reading Rail Co,Schooner - Barge,1898,"Noank, CT",9/29/1927,1927,9,29,Hereford Inlet Light,38-55-30 N,74-45-28 W,Collision w/ submerged object,Wood,US,201,34.8,17.6,910,842,"Philadelphia, PA",,,,5,,0,,,,,Y,N,#3745; Total loss,
Beatrice,,C C Hutchings,Bark,1873,"Sunderland, England",1/25/1895,1895,1,25,Spermaceti Cove LSS N .5 mi,,,Stranded,Wood,,130.9,26.6,11,295,288,"Barbados, WI","New York, NY","Wilmington, DE",Brown,8,,0,"$2,000",$0,None,Spermaceti Cove #2,Y,N,#86409; Total loss,
Becky Lee,,Atlantic Cape Fisheries,Clam dredge,,,7/25/1991,1991,7,25,Cape May Artificial Reef,38-53-11   N,74-41-03   W,Opened sea cocks,Steel,US,85,23,35,,,NJ AR,CM,67,,,,,,,,,Y,Y,,See scrapbooks 38 - 43 - Purple Misc
Bee Dee,,,Motor vessel,1958,"Pompano Beach, FL",7/12/1966,1966,7,12,Long Beach E,,,Foundered,Wood,,,,,17,12,"Philadelphia, PA",,Passenger service,,,,,,,,,,N,#283148,
Bell Savage,,,Brig,,,12/20/1750,1750,12,20,Sandy Hook,,,Stranded,,,,,,,,,Virginia Islands,"New York, NY",Lewis,,,,,,,,N,N,Refloated,
Bella Russell,,,Schooner,1872,"Leesburg, NJ",5/7/1897,1897,5,7,Little Egg LSS N .5 mi,,,Grounded,Wood,,118,29.5,8.6,222,210,"Bridgeton, NJ","Kennebec, ME","Beach Haven, NJ",James,5,,0,"$8,000",$500,Ice,,N,N,#2834; Refloated,
Belle (1841),,,Schooner,,,5/1/1841,1841,5,1,"Moriches, NY",39-12-00 N,71-40-00 W,Foundered; Grounded,,,,,,,,,"New York, NY","Madeiero, Brazil",,,,,,,,,Y,N,Crew probably lost; Total loss,
Belle (1842),,,Schooner,,,10/2/1842,1842,10,2,Cape May Fishing Creek,,,Stranded,,,,,,,,"Philadelphia, PA","Philadelphia, PA","New York, NY",Scull,,,,,,Coal,,Y,N,Total loss,
Belle (1847A),,,Schooner,,,11/1847,1847,11,,Deal Beach,,,Wrecked,,,,,,,,,"Charleston, SC","New York, NY",McNeath,9,,0,,,,,N,N,Refloated,
Belle (1847B),,,Schooner,,,12/16/1897,1897,12,16,Sickles Creek,,,Wrecked,,,,,,,,,"Norfolk, VA","New York, NY",McNeath,9,,0,,,Molasses,,,N,,
Belle (1868A),,,Schooner,,,2/8/1868,1868,2,8,Deal Beach,,,Wrecked,,,,,,,,,,,,5,,0,,,,,N,N,Refloated,
